kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Setaria,Setaria,viridis,Setaria viridis,Setaria viridis,Setaria_viridis,1,NO,Setaria viridis,Setaria viridis,non-woody,herbaceous graminoid,broadleaved,936.14,22.70398064,30.98096369,0.296079204,1.2959,0.22320208533331864,0.243910299,0.219282346,0.219282346
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Sisymbrium,Sisymbrium,altissimum,Sisymbrium altissimum,Sisymbrium altissimum,Sisymbrium_altissimum,1,NO,Sisymbrium altissimum,Sisymbrium altissimum,non-woody,herbaceous non-graminoid,broadleaved,3258.56,24.67256884552683,47.75188705,0.493639469,0.1921,0.2120775165270129,0.119582607,0.158531286,0.158531286
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Iridaceae,Iridaceae,Sisyrinchium,Sisyrinchium,campestre,Sisyrinchium campestre,Sisyrinchium campestre,Sisyrinchium_campestre,1,NO,Sisyrinchium campestre,NA,non-woody,herbaceous non-graminoid,broadleaved,369.02,11.81392914,86.53689672,0.7486152674129873,0.46,0.35773722949448666,0.33215998253893186,0.2889987720937056,0.3063291558690063
Plantae,Tracheophyta,A,Liliopsida,Liliales,Smilacaceae,Smilacaceae,Smilax,Smilax,herbacea,Smilax herbacea,Smilax herbacea,Smilax_herbacea,1,NO,Smilax herbacea,Smilax herbacea,woody,climber,broadleaved,3508.4280979803875,20.2,58.708847994437185,4.594445535354279,37.4523,0.4507494968785842,0.3443699730164963,0.31349839714463357,0.4118408698758925
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Solanum,Solanum,americanum,Solanum americanum,Solanum americanum,Solanum_americanum,1,NO,Solanum americanum,Solanum americanum,non-woody,herbaceous non-graminoid,broadleaved,772.66,29.381422708503546,43.73003555,0.922288031,1.0997,0.1755467675981241,0.122474487,0.160046631,0.160046631
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Solanum,Solanum,dulcamara,Solanum dulcamara,Solanum dulcamara,Solanum_dulcamara,1,NO,Solanum dulcamara,Solanum dulcamara,non-woody,climber,broadleaved,1408.31,39.56191837,28.65708511,1.012282515,1.489,0.23,0.23398710776455414,0.21626398345466297,0.23
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,gigantea,Solidago gigantea,Solidago gigantea,Solidago_gigantea,1,NO,Solidago gigantea,Solidago gigantea,non-woody,herbaceous non-graminoid,broadleaved,755.98,11.96915806,61.87840822,1.082901854,0.1273,0.30855130864581964,0.306905489,0.256688476,0.256688476
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,juncea,Solidago juncea,Solidago juncea,Solidago_juncea,1,NO,Solidago juncea,Solidago juncea,non-woody,herbaceous non-graminoid,broadleaved,1535.22,16.87201878390233,68.87240105,0.806644151,0.2124,0.2899891310565948,0.296918765,0.251455433,0.251455433
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,nemoralis,Solidago nemoralis,Solidago nemoralis,Solidago_nemoralis,1,NO,Solidago nemoralis,Solidago nemoralis,non-woody,herbaceous non-graminoid,broadleaved,599.65,12.6688421,113.0155216,0.489897949,0.1447,0.3992742227483532,0.44,0.32643,0.32643
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,rigida,Solidago rigida,Solidago rigida,Solidago_rigida,1,NO,Solidago rigida,Solidago rigida,non-woody,herbaceous non-graminoid,broadleaved,3185.69,12.36782331,106.8108748,1.160868362,0.4925,0.2605056780148885,0.248272578,0.225964831,0.225964831
